"gdp_id";"country_id";"year";"gdp"
647;19;1993;225000000000.0
648;19;1994;245000000000.0
649;19;1995;288000000000.0
650;19;1996;279000000000.0
651;19;1997;253000000000.0
652;19;1998;259000000000.0
653;19;1999;258000000000.0
654;19;2000;237000000000.0
655;19;2001;237000000000.0
656;19;2002;258000000000.0
657;19;2003;318000000000.0
658;19;2004;369000000000.0
659;19;2005;386000000000.0
660;19;2006;408000000000.0
661;19;2007;471000000000.0
662;19;2008;517000000000.0
663;19;2009;483000000000.0
664;19;2010;481000000000.0
665;19;2011;523000000000.0
666;19;2012;496000000000.0
667;19;2013;522000000000.0
668;19;2014;535000000000.0
669;19;2015;462000000000.0
670;19;2016;476000000000.0
671;19;2017;503000000000.0
672;19;2018;543000000000.0
673;19;2019;535000000000.0
674;19;2020;522000000000.0
675;20;1960;226000000.0
676;20;1961;236000000.0
677;20;1962;236000000.0
678;20;1963;254000000.0
679;20;1964;270000000.0
680;20;1965;290000000.0
681;20;1966;303000000.0
682;20;1967;306000000.0
683;20;1968;326000000.0
684;20;1969;331000000.0
685;20;1970;334000000.0
686;20;1971;335000000.0
687;20;1972;410000000.0
688;20;1973;504000000.0
689;20;1974;555000000.0
690;20;1975;677000000.0
691;20;1976;698000000.0
692;20;1977;750000000.0
693;20;1978;929000000.0
694;20;1979;1190000000.0
695;20;1980;1410000000.0
696;20;1981;1290000000.0
697;20;1982;1270000000.0
698;20;1983;1100000000.0
699;20;1984;1050000000.0
700;20;1985;1050000000.0
701;20;1986;1340000000.0
702;20;1987;1560000000.0
703;20;1988;1620000000.0
704;20;1989;1500000000.0
705;20;1990;1960000000.0
706;20;1991;1990000000.0
707;20;1992;1700000000.0
708;20;1993;2270000000.0
709;20;1994;1600000000.0
710;20;1995;2170000000.0
711;20;1996;2360000000.0
712;20;1997;2270000000.0
713;20;1998;2460000000.0
714;20;1999;3680000000.0
715;20;2000;3520000000.0
716;20;2001;3670000000.0
717;20;2002;4190000000.0
718;20;2003;5350000000.0
719;20;2004;6190000000.0
720;20;2005;6570000000.0
721;20;2006;7030000000.0
722;20;2007;8170000000.0
723;20;2008;9790000000.0
724;20;2009;9740000000.0
725;20;2010;9540000000.0
726;20;2011;10700000000.0
727;20;2012;11100000000.0
728;20;2013;12500000000.0
729;20;2014;13300000000.0
730;20;2015;11400000000.0
731;20;2016;11800000000.0
732;20;2017;12700000000.0
733;20;2018;14300000000.0
734;20;2019;14400000000.0
735;20;2020;15700000000.0
736;21;1960;330000000.0
737;21;1961;350000000.0
738;21;1962;380000000.0
739;21;1963;394000000.0
740;21;1964;410000000.0
741;21;1965;423000000.0
742;21;1966;434000000.0
743;21;1967;451000000.0
744;21;1968;460000000.0
745;21;1969;478000000.0
746;21;1970;458000000.0
747;21;1971;482000000.0
748;21;1972;579000000.0
749;21;1973;675000000.0
750;21;1974;751000000.0
751;21;1975;940000000.0
752;21;1976;977000000.0
753;21;1977;1130000000.0
754;21;1978;1480000000.0
755;21;1979;1750000000.0
756;21;1980;1930000000.0
757;21;1981;1780000000.0
758;21;1982;1750000000.0
759;21;1983;1600000000.0
760;21;1984;1460000000.0
761;21;1985;1550000000.0
762;21;1986;2040000000.0
763;21;1987;2370000000.0
764;21;1988;2620000000.0
765;21;1989;2620000000.0
766;21;1990;3100000000.0
767;21;1991;3140000000.0
768;21;1992;3360000000.0
769;21;1993;3200000000.0
770;21;1994;1900000000.0
771;21;1995;2380000000.0
772;21;1996;2590000000.0
773;21;1997;2450000000.0
774;21;1998;2800000000.0
775;21;1999;3390000000.0
776;21;2000;2970000000.0
777;21;2001;3190000000.0
778;21;2002;3620000000.0
779;21;2003;4740000000.0
780;21;2004;5450000000.0
781;21;2005;6150000000.0
782;21;2006;6550000000.0
783;21;2007;7630000000.0
784;21;2008;9450000000.0
785;21;2009;9450000000.0
786;21;2010;10100000000.0
787;21;2011;12100000000.0
788;21;2012;12600000000.0
789;21;2013;13400000000.0
790;21;2014;13900000000.0
791;21;2015;11800000000.0
792;21;2016;12800000000.0
793;21;2017;14100000000.0
794;21;2018;15900000000.0
795;21;2019;16200000000.0
796;21;2020;17900000000.0
797;22;1960;4270000000.0
798;22;1961;4820000000.0
799;22;1962;5080000000.0
800;22;1963;5320000000.0
801;22;1964;5390000000.0
802;22;1965;5910000000.0
803;22;1966;6440000000.0
804;22;1967;7250000000.0
805;22;1968;7480000000.0
806;22;1969;8470000000.0
807;22;1970;8990000000.0
808;22;1971;8750000000.0
809;22;1972;6290000000.0
810;22;1973;8090000000.0
811;22;1974;12500000000.0
812;22;1975;19400000000.0
813;22;1976;10100000000.0
814;22;1977;9650000000.0
